@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute income numeric
@attribute density numeric
@attribute age numeric
@attribute unp_rate numeric
@attribute com_dens numeric
@attribute n_freq_attack {0,1}

@data
3472.711188,423.365083,38,9.9272,62,18,37,0
1843.722696,458.509749,72,7.804,43,2,9,0
1778.305785,260.849131,70,6.4077,52,3,18,0
960.764913,954.008834,64,6.6568,36,2,9,0
1674.468949,235.916496,26,18.2737,47,22,9,0
2071.504933,219.328318,48,8.5793,55,12,37,0
1954.91866,514.083175,38,6.7425,50,12,47,0
2541.51676,260.919509,64,1.247,51,6,18,0
1548.511048,102.084649,54,11.0762,52,4,18,0
700.21668,456.754562,34,31.1863,25,18,18,0
4333.167746,1261.704342,32,6.6454,54,18,9,0
676.242304,851.81637,60,4.0355,30,7,18,0
676.242304,851.81637,60,4.0355,30,7,18,0
2761.790695,1368.810983,64,0.1389,54,5,37,0
2998.494704,48.595905,46,9.8431,45,9,47,0
3438.868771,136.743006,30,6.631,56,18,65,0
3221.588301,370.794049,50,17.6278,49,13,28,0
3019.810016,177.634397,44,0,55,12,47,0
3779.043606,517.928941,36,14.5257,61,12,28,0
2998.494704,48.595905,46,9.8431,45,9,47,0
1682.606676,612.761344,50,19.1981,51,12,18,0
1161.4855,439.911623,58,11.423,49,3,47,0
676.242304,851.81637,60,4.0355,30,7,18,0
1427.596645,452.698754,40,15.1556,45,13,9,0
2481.734924,248.256826,30,1.0812,65,17,9,0
1594.671202,632.04077,62,21.7348,37,7,18,0
1843.722696,458.509749,72,7.804,43,2,9,0
676.242304,851.81637,60,4.0355,30,7,18,0
459.171828,442.728655,48,23.3028,26,11,9,0
3851.065777,433.293082,24,0.031,55,18,18,0
1105.755152,295.898834,42,8.1387,52,13,18,0
2915.139554,705.794909,36,0,55,18,9,0
1618.682,644.77015,22,0.6296,33,19,9,0
1492.275609,341.961885,54,9.9074,31,8,9,0
2691.198123,1634.150189,66,11.5886,36,2,9,0
2530.519838,369.569171,48,24.6662,55,12,18,0
1697.093983,445.177365,28,0.0207,47,17,9,0
1707.5786,315.658541,64,0,44,3,9,0
2044.410304,461.15172,54,4.5985,48,8,28,0
1361.189198,718.434296,40,22.0871,32,17,9,0
1697.093983,445.177365,28,0.0207,47,17,9,0
2930.697435,220.535265,54,14.2565,54,9,47,0
683.15709,222.555341,52,22.8954,32,8,18,0
683.15709,222.555341,52,22.8954,32,8,18,0
