address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Rua Professor Simoes Raposo 15 Lisbon,MONTEPIO GERAL,MG45,-9.17439,38.762,Carnide,10,529.6340917,787.5540702,38,28.8444,25,10,9,1,1,3,4,1,3,2,1
Rua Antonio Albino Machado 28-2 Lisbon,MONTEPIO GERAL,MG73,-9.16848,38.75372,Lumiar,12,534.4317349,1040.164948,60,28.1704,38,2,9,1,1,6,4,2,1,2,1
Rua Raul Carapinha Lisbon,MONTEPIO GERAL,MG91,-9.17272,38.74175,Campolide,9,532.5788692,867.1877443,50,24.8047,55,13,18,1,1,5,3,4,3,2,1
Avenida Professor Egas Moniz Lisbon,NOVO BANCO,NB03,-9.16161,38.75009,Avenidas Novas,5,724.4703906,1292.056182,50,0.0039,45,6,9,1,1,5,1,3,2,2,1
Rua Professor Reinaldo Dos Santos Lote 1 Lisbon,NOVO BANCO,NB15,-9.18873,38.74751,Carnide,10,550.3315682,853.5838196,44,17.0117,30,13,18,1,1,4,3,1,3,2,1
Rua Das Pedralvas 15 Lisbon,NOVO BANCO,NB16,-9.20565,38.75406,Benfica,7,476.392265,1087.990611,38,35.1178,37,10,9,1,1,3,4,2,3,2,1
Avenida Jose Malhoa 195 Lisbon,NOVO BANCO,NB17,-9.16441,38.73734,Avenidas Novas,5,587.1627167,671.547121,36,1.0968,25,12,18,1,1,3,1,1,3,2,1
Praca Norte 6 Lisbon,NOVO BANCO,NB22,-9.11965,38.77697,Olivais,15,690.2722776,1071.323868,36,5.0162,31,20,9,1,1,3,1,1,5,2,1
Praca Norte 6 Lisbon,NOVO BANCO,NB36,-9.11965,38.77697,Olivais,15,690.2722776,1071.323868,36,5.0162,31,20,9,1,1,3,1,1,5,2,1
Avenida Lusiada Lisbon,NOVO BANCO,NB40,-9.18017,38.75002,Carnide,10,676.2423043,851.8163703,60,4.0355,30,7,18,1,1,6,1,1,2,2,1
Praca Norte 6 Lisbon,NOVO BANCO,NB44,-9.11965,38.77697,Olivais,15,690.2722776,1071.323868,36,5.0162,31,20,9,1,1,3,1,1,5,2,1
Azinhaga Galhardas 33 Lisbon,NOVO BANCO,NB45,-9.16612,38.75496,Lumiar,12,602.455118,860.6867161,50,21.2956,45,6,9,1,0,5,3,3,2,2,1
Rua Professor Reinaldo Dos Santos Lote 1 Lisbon,NOVO BANCO,NB46,-9.18873,38.74751,Carnide,10,550.3315682,853.5838196,44,17.0117,30,13,18,1,1,4,3,1,3,2,1
Rua Professor Joao Barreira 1-1a Lisbon,NOVO BANCO,NB59,-9.17096,38.76161,Lumiar,12,464.3815298,542.9796668,48,6.317,26,11,9,1,1,5,2,1,3,2,1
Avenida Professor Egas Moniz Lisbon,NOVO BANCO,NB67,-9.16161,38.75009,Avenidas Novas,5,724.4703906,1292.056182,50,0.0039,45,6,9,1,1,5,1,3,2,2,1
Palma De Cima Lisbon,NOVO BANCO,NB83,-9.16603,38.74923,Avenidas Novas,5,573.5138748,1378.473723,68,0,40,4,9,1,1,6,1,2,1,2,1
Palma De Cima Lisbon,NOVO BANCO,NB92,-9.16603,38.74923,Avenidas Novas,5,573.5138748,1378.473723,68,0,40,4,9,1,0,6,1,2,1,2,1
Avenida Lusiada Lisbon,NOVO BANCO,NB93,-9.18017,38.75002,Carnide,10,676.2423043,851.8163703,60,4.0355,30,7,18,1,1,6,1,1,2,2,1
Estrada Da Luz 177 a Lisbon,BANCO NACIONAL DE CREDITO IMOBILIARIO,NCI12,-9.17678,38.75554,Carnide,10,455.0351521,930.6563981,50,33.0763,26,7,9,1,1,5,4,1,2,2,1
Avenida Marechal Craveiro Lopes Lisbon,BANCO NACIONAL DE CREDITO IMOBILIARIO,NCI16,-9.14026,38.76319,Lumiar,12,640.7743765,932.4954124,50,0.1558,35,5,9,1,1,5,1,2,2,2,1
Estrada Benfica 158 Lisbon,BANCO NACIONAL DE CREDITO IMOBILIARIO,NCI31,-9.18781,38.747,Carnide,10,595.1609215,903.6555739,44,27.1257,33,13,18,1,1,4,4,2,3,2,1
Rua Amelia Rey Colaco 3 Lisbon,SOCIEDADE INTERBANCARIA,SI04,-9.20414,38.75235,Benfica,7,691.6732309,857.7439809,38,25.6829,37,10,9,1,1,3,3,2,3,2,1
Avenida Lusiada Lisbon,SOCIEDADE INTERBANCARIA,SI12,-9.18017,38.75002,Carnide,10,676.2423043,851.8163703,60,4.0355,30,7,18,1,1,6,1,1,2,2,1
Estrada Luz 90 Lisbon,SOCIEDADE INTERBANCARIA,SI17,-9.17287,38.75028,Carnide,10,808.486545,1379.217399,52,1.5568,34,9,18,1,0,5,1,2,2,2,1
Rua Professor Reinaldo Dos Santos Lote 1 Lisbon,BANCO SANTANDER TOTTA,ST13,-9.18873,38.74751,Carnide,10,550.3315682,853.5838196,44,17.0117,30,13,18,1,1,4,3,1,3,2,1
Estrada De Benfica 310-336 Lisbon,BANCO SANTANDER TOTTA,ST15,-9.17723,38.74395,Campolide,9,924.8015792,1209.853575,50,23.8901,35,7,18,1,1,5,3,2,2,2,1
Avenida Marechal Craveiro Lopes Lisbon,BANCO SANTANDER TOTTA,ST18,-9.14026,38.76319,Lumiar,12,640.7743765,932.4954124,50,0.1558,35,5,9,1,1,5,1,2,2,2,1
Acesso Da Avenida General Norton De Matos Lisbon,BANCO SANTANDER TOTTA,ST21,-9.17209,38.75746,Lumiar,12,14.25969681,852.8220669,56,8.0558,33,10,9,1,0,5,2,2,3,2,1
Avenida Do Brasil 101 Lisbon,BANCO SANTANDER TOTTA,ST28,-9.14138,38.75864,Alvalade,2,646.9599198,1101.61952,58,0,37,4,9,1,1,6,1,2,1,2,1
Avenida Professor Egas Moniz Lisbon,BANCO SANTANDER TOTTA,ST35,-9.16161,38.75009,Avenidas Novas,5,724.4703906,1292.056182,50,0.0039,45,6,9,1,1,5,1,3,2,2,1
Circular Norte Lisbon,BANCO SANTANDER TOTTA,ST40,-9.11905,38.77632,Olivais,15,776.7083688,1073.126316,22,5.0162,30,22,9,1,0,1,1,1,5,2,1
Estrada De Benfica 310-336 Lisbon,BANCO SANTANDER TOTTA,ST47,-9.17723,38.74395,Campolide,9,924.8015792,1209.853575,50,23.8901,35,7,18,1,1,5,3,2,2,2,1
Estrada Da Luz 169 A/b Lisbon,BANCO SANTANDER TOTTA,ST48,-9.17621,38.75493,Carnide,10,452.658926,979.3909287,54,28.4366,32,7,18,1,1,5,4,2,2,2,1
Rua De Pedroucos Lisbon,BANCO SANTANDER TOTTA,ST63,-9.22037,38.69637,Belém,6,630.1246936,1287.586266,46,19.8349,46,15,9,1,1,4,3,3,4,2,1
Rua Professor Joao Barreira 5 B Lisbon,BARCLAYS BANK,BB01,-9.17085,38.76104,Lumiar,12,405.830976,550.7973579,52,10.6231,34,9,9,0,0,5,2,2,2,2,0
Rua Vale Formoso De Cima 154 C Lisbon,BARCLAYS BANK,BB02,-9.10434,38.74944,Marvila,13,2668.503286,732.9291958,26,16.5529,51,20,9,0,0,2,3,4,5,2,0
Avenida Doutor Francisco Luis Gomes Lisbon,BARCLAYS BANK,BB03,-9.11006,38.77049,Olivais,15,1232.487688,957.4103677,28,6.8522,26,18,9,0,0,2,2,1,4,2,0
Avenida Ilha Da Madeira 36 a Lisbon,BARCLAYS BANK,BB04,-9.20806,38.70679,Belém,6,1262.262547,851.9589843,34,20.9547,52,14,9,0,0,3,3,4,4,2,0
Rua Escola Politecnica 111 Lisbon,BARCLAYS BANK,BB05,-9.1513,38.71756,Campo de Ourique,8,1978.321417,504.0320294,46,13.918,45,7,18,0,0,4,2,3,2,2,0
Avenida Da Republica 2 B Lisbon,BARCLAYS BANK,BB06,-9.14465,38.73452,Avenidas Novas,5,2065.903205,353.2812934,40,3.6254,47,13,18,0,0,4,1,3,3,2,0
Avenida De Roma 6 E Lisbon,BARCLAYS BANK,BB08,-9.13789,38.74231,Avenidas Novas,5,2338.197736,698.3057325,64,14.7613,44,2,37,0,0,6,2,3,1,4,0
Rua Carlos Alberto Da Mota Pinto 3 Lisbon,BARCLAYS BANK,BB09,-9.16055,38.72383,Santo Antonio,19,1104.053129,503.7670317,48,11.423,54,12,28,0,0,5,2,4,3,4,0
Avenida Infante Santo 70 C Lisbon,BARCLAYS BANK,BB10,-9.16477,38.71022,Campo de Ourique,8,1141.367986,362.394695,48,18.4505,50,12,18,0,0,5,3,4,3,2,0
Praca Marques De Pombal 13 Lisbon,BARCLAYS BANK,BB11,-9.14909,38.72582,Santo Antonio,19,2122.833185,152.3378908,70,0,55,3,18,0,0,6,1,4,1,2,0
