@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R3-7'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute n_freq_attack {0,1}

@data
2958.270424,377.986155,0
3019.810016,177.634397,0
3280.033799,547.337232,0
2874.325148,263.361836,0
975.999952,565.104017,0
1748.903181,448.74363,0
676.242304,851.81637,0
1118.476874,487.347925,0
1697.093983,445.177365,0
848.027596,892.123233,0
2111.364957,447.477916,0
2513.535596,461.082034,0
1325.992235,465.102231,0
1862.942662,305.826906,0
2939.661625,365.224278,0
614.486095,127.440741,0
1722.307365,691.480773,0
2761.790695,1368.810983,0
1973.829976,1074.77237,0
1337.241958,848.463898,0
3034.896486,109.637605,0
986.572655,555.726971,0
1096.460206,1139.082017,0
1337.241958,848.463898,0
1025.79578,393.170231,0
2513.535596,461.082034,0
2448.217018,486.131169,0
2342.680322,648.531696,0
1189.680817,301.620442,0
3135.467042,294.579848,0
3236.082573,207.787543,0
2503.938229,211.206199,0
1284.404452,659.390195,0
1843.722696,458.509749,0
614.486095,127.440741,0
3082.737007,130.273398,0
676.242304,851.81637,0
1699.468762,618.071441,0
912.721806,682.190239,0
1559.43799,520.264096,0
1027.521298,288.459679,0
2130.670928,817.543353,0
1503.096504,564.772928,0
1031.534153,541.959945,0
3017.109897,193.339135,0
1595.849903,617.26183,0
1927.179507,260.555881,0
1009.163535,530.444002,0
3235.868022,241.704955,0
1722.710647,911.593868,0
620.88987,561.928982,0
2749.832385,723.098376,0
1234.269627,443.734143,0
2939.661625,365.224278,0
1541.492623,870.588458,0
781.716273,577.775999,0
2006.273332,47.04714,0
1278.421802,1527.581074,0
2958.077164,376.802195,0
2485.595378,548.925449,0
1251.350353,439.94613,0
1173.742253,710.121989,0
1297.205003,489.298618,0
1071.067156,703.928998,0
486.121836,216.268121,0
2939.661625,365.224278,0
3884.400351,162.380058,0
2485.595378,548.925449,0
977.485239,443.328788,0
952.924844,417.344246,0
766.972526,708.449781,0
1297.205003,489.298618,0
2224.691936,721.20794,0
1820.969591,528.410953,0
2955.885598,180.798194,0
1984.537827,198.403851,0
1783.291715,666.638593,0
3281.180211,353.578198,0
3477.8628,209.029862,0
766.972526,708.449781,0
3900.689329,463.674443,0
2407.81719,331.519746,0
2052.935663,457.622941,0
1087.271909,617.975266,0
953.660102,757.021778,0
1445.74694,121.597063,0
3087.789302,131.644004,0
1674.20191,467.074715,0
3160.585224,116.819106,0
1665.335128,597.890521,0
728.155361,436.002489,0
1445.74694,121.597063,0
1634.480778,855.216214,0
3281.180211,353.578198,0
2833.199507,1516.315407,0
1789.459783,798.602612,0
3573.927051,246.388056,0
2164.440762,148.144984,0
3444.822899,391.299807,0
2833.199507,1516.315407,0
2224.691936,721.20794,0
1173.742253,710.121989,0
2955.885598,180.798194,0
3198.841517,284.272755,0
2933.197754,138.100978,0
4388.970835,271.721968,0
1421.306264,603.482182,0
2939.661625,365.224278,0
2868.92323,305.353138,0
2051.136945,269.98475,0
2939.661625,365.224278,0
702.493929,571.102908,0
2077.05739,289.256361,0
702.493929,571.102908,0
1781.615851,626.544283,0
2485.595378,548.925449,0
724.34312,666.719118,0
2939.661625,365.224278,0
2868.92323,305.353138,0
2939.661625,365.224278,0
1619.996068,449.79934,0
3198.841517,284.272755,0
1278.421802,1527.581074,0
3281.180211,353.578198,0
2008.137872,652.809688,0
2958.077164,376.802195,0
3087.789302,131.644004,0
1820.969591,528.410953,0
